Packets	Time	Ax	Ay	Az	Temp	Alt	Press
2100	23566	4	256	-17	220	0.1739	102944.9100
2101	23796	5	254	-9	220	0.1739	102944.9100
2102	24025	7	256	-20	220	0.1422	102945.2400
2103	24255	7	254	-10	220	0.1157	102945.5700
2104	24485	4	254	-16	220	0.0048	102946.9100
2105	24715	5	255	-11	220	0.0206	102946.7300
2106	24945	6	255	-18	220	-0.0269	102947.3400
2107	25176	5	253	-7	220	-0.0428	102947.5100
2108	25406	4	255	-15	220	0.0100	102946.8400
2109	25636	9	254	-10	220	0.0259	102946.6700
2110	25866	4	256	-17	220	0.0365	102946.5200
2111	26096	8	254	-11	220	-0.0745	102947.9100
2112	26327	7	254	-19	220	-0.1168	102948.4000
2113	26558	8	254	-11	220	-0.1009	102948.2300
2114	26789	4	256	-15	220	-0.1591	102948.9100
2115	27020	10	253	-11	220	-0.0957	102948.1300
2116	27252	4	254	-16	220	-0.0534	102947.6300
2117	27483	4	254	-8	220	-0.0005	102946.9700
2118	27713	6	255	-17	220	0.0893	102945.8800
2119	27943	5	254	-10	220	0.1580	102945.0500
2120	28173	6	255	-15	220	0.0576	102946.3000
2121	28403	9	255	-10	220	0.0259	102946.6300
2122	28633	5	255	-17	219	0.0153	102946.8000
2123	28863	6	253	-10	219	0.0153	102946.8000
2124	29093	5	255	-17	219	0.0682	102946.1300
2125	29322	8	254	-13	220	0.1316	102945.3700
2126	29552	5	256	-18	220	0.1474	102945.2000
2127	29782	4	253	-9	220	0.0999	102945.8000
2128	30011	6	255	-17	220	0.1052	102945.7000
2129	30241	7	254	-9	220	0.0206	102946.7000
2130	30470	5	255	-15	220	0.0417	102946.4700
2131	30700	6	255	-10	220	0.0840	102945.9700
2132	30930	5	255	-17	220	0.1104	102945.6300
2133	31160	9	257	-11	220	0.2637	102943.8000
2134	31390	-59	1371	-5	220	1.0775	102933.8800
2135	31622	-12	1671	-8	220	2.9060	102911.6700
2136	31854	-3	2110	-12	220	6.0873	102872.9500
2137	32086	2	2514	5	220	12.0430	102800.5500
2138	32316	-2	2725	-5	220	21.4019	102686.8700
2139	32548	23	2478	16	220	35.0043	102521.8400
2140	32780	49	2028	40	220	52.5966	102308.6400
2141	33012	-14	-662	-8	220	72.7096	102065.4000
2142	33245	-5	-334	7	220	95.7449	101787.3400
2143	33476	-2	-378	17	220	120.3762    101490.7500
2144	33709	4	-347	-2	220	145.9296	101183.8300
2145	33941	19	-318	-24	220	171.6257	100875.9100
2146	34175	23	-281	-4	220	197.3456	100568.4500
2147	34408	19	-247	-11	220	222.5635	100267.7400
2148	34641	8	-220	-16	220	247.0547	99976.3980
2149	34873	29	-199	-5	220	270.9012	99693.3830
2150	35105	10	-184	-13	220	293.9207	99420.7890
2151	35338	26	-174	-2	220	316.0524	99159.2810
2152	35570	6	-151	-7	220	337.3121	98908.6020
2153	35801	16	-138	-11	220	357.5678	98670.2420
2154	36034	20	-122	-8	220	376.8274	98444.0390
2155	36266	13	-108	-15	220	395.2757	98227.7420
2156	36499	11	-97	-9	220	412.7411	98023.3360
2157	36730	11	-89	-14	220	429.2871	97830.0080
2158	36962	2	-79	-10	220	444.8527	97648.3980
2159	37192	7	-66	-10	220	459.5649	97477.0230
2160	37423	12	-61	-11	220	473.5372	97314.4920
2161	37655	7	-52	-14	219	486.6482	97162.1640
2162	37886	8	-45	-14	219	498.9030	97019.9610
2163	38117	8	-40	-10	219	510.3547	96887.2340
2164	38348	10	-34	-9	219	521.0955	96762.8670
2165	38579	8	-32	-13	219	531.1626	96646.4300
2166	38810	4	-27	-19	219	540.5110	96538.4300
2167	39040	8	-20	-12	219	549.1776	96438.3750
2168	39271	5	-19	-15	219	556.9934	96348.1950
2169	39502	7	-15	-15	219	564.0880	96266.4060
2170	39733	7	-11	-13	220	570.4532	96193.0860
2171	39964	4	-9	-14	220	576.2081	96126.8280
2172	40194	7	-9	-15	220	581.2310	96069.0390
2173	40424	6	-8	-12	220	585.6251	96018.4840
2174	40654	5	-8	-13	220	589.3507	95975.6410
2175	40883	6	-10	-13	220	592.4369	95940.1800
2176	41114	5	-11	-11	219	594.9576	95911.2110
2177	41345	8	-16	-8	219	596.8231	95889.7890
2178	41575	6	-25	-12	219	598.1072	95875.0160
2179	41806	5	-26	-10	220	598.7018	95868.2030
2180	42037	3	-17	-7	220	598.7308	95867.8750
2181	42267	6	-10	-9	220	598.1945	95874.0160
2182	42496	6	-11	-16	219	596.9658	95888.1250
2183	42727	4	-18	-18	219	595.1902	95908.5550
2184	42958	65	-73	19	219	591.5095	95950.8360
2185	43189	428	-191	244	219	586.2196	96011.6480
2186	43423	1673	583	-947	219	583.0304	96048.3360
2187	43658	-545	28	404	219	580.5441	96076.9140
2188	43891	92	192	165	218	577.9255	96107.0700
2189	44123	675	-46	92	218	575.6717	96132.9840
2190	44355	887	276	46	218	573.3174	96160.0860
2191	44587	-137	108	833	217	571.2458	96183.9450
2192	44820	-146	-289	433	217	569.2880	96206.5000
2193	45055	-190	32	645	217	567.4199	96228.0160
2194	45288	-226	13	-158	216	565.3853	96251.4450
2195	45522	-201	-64	-342	216	564.2174	96264.9300
2196	45757	155	74	280	216	562.3467	96286.4840
2197	45989	533	-242	-144	216	560.8459	96303.7810
2198	46224	-85	40	218	216	558.6898	96328.6410
2199	46456	86	-37	-262	216	557.0305	96347.7810
2200	46689	303	189	-43	216	555.0250	96370.8910
2201	46922	-120	219	-332	216	552.9217	96395.1410
2202	47157	180	99	10	216	550.9347	96418.0860
2203	47387	330	324	-405	215	548.8077	96442.6410
2204	47621	391	-222	-738	215	547.2858	96460.2030
2205	47856	482	-3	-634	215	545.9117	96476.0470
2206	48089	-386	49	-290	214	543.7372	96501.1640
2207	48323	74	-219	639	214	542.0487	96520.6480
2208	48556	520	206	236	214	539.9984	96544.3360
2209	48789	158	-170	-112	214	538.3231	96563.6880
2210	49024	-115	-99	157	214	536.6110	96583.4610
2211	49258	-156	-71	-68	214	534.7745	96604.7030
2212	49492	-273	-205	143	213	533.6146	96618.0940
2213	49727	130	11	208	213	532.1244	96635.3200
2214	49959	437	-188	-476	213	530.3197	96656.1950
2215	50193	250	-337	130	212	528.2112	96680.5550
2216	50427	543	222	423	212	526.1925	96703.9060
2217	50660	-270	-483	-289	212	524.4037	96724.6020
2218	50896	137	-30	929	212	522.3004	96748.9380
2219	51129	-201	-231	142	212	520.3108	96771.9610
2220	51364	-98	147	-61	212	518.3053	96795.1720
2221	51597	420	-181	-6	212	516.5614	96815.3670
2222	51830	174	246	36	212	514.4872	96839.3830
2223	52062	2	-237	175	212	512.9600	96857.0550
2224	52294	143	249	117	211	510.8356	96881.6640
2225	52527	-133	147	-264	211	508.9675	96903.3050
2226	52762	41	57	-136	211	506.9461	96926.7340
2227	52993	341	117	-156	210	504.8112	96951.4610
2228	53227	550	-413	-592	210	503.1228	96971.0390
2229	53462	355	-349	-599	210	501.0089	96995.5550
2230	53697	54	-50	102	210	499.1144	97017.5080
2231	53929	493	-75	-302	210	497.6216	97034.8130
2232	54163	261	36	-22	210	495.5659	97058.6800
2233	54395	-138	-321	113	209	494.0783	97075.9220
2234	54630	-239	-14	79	209	491.9935	97100.1020
2235	54863	171	93	608	209	489.7819	97125.7970
2236	55095	104	-166	128	209	487.9905	97146.5780
2237	55329	-82	-47	-132	209	485.9189	97170.6330
2238	55563	-345	-51	-1	209	484.1433	97191.2420
2239	55796	134	76	-112	208	482.0665	97215.3750
2240	56028	341	-306	-25	208	480.5419	97233.0860
2241	56262	167	363	-144	208	478.3647	97258.3830
2242	56496	-148	103	11	207	476.5045	97279.9840
2243	56729	172	121	-6	207	474.4647	97303.6950
2244	56961	-488	-62	214	207	472.5913	97325.4690
2245	57195	431	-61	-368	206	470.4907	97349.9140
2246	57429	38	-194	-488	206	468.2051	97376.5000
2247	57663	-254	327	-849	206	466.0939	97401.0390
2248	57898	541	-102	-730	206	464.3025	97421.8910
2249	58133	451	-147	99	206	462.4608	97443.3130
2250	58366	-99	63	-480	206	460.3893	97467.4380
2251	58599	316	200	-725	205	458.3177	97491.5550
2252	58833	524	-127	139	205	456.7641	97509.6170
2253	59067	147	50	131	205	454.5869	97534.9840
2254	59298	374	88	220	204	452.6976	97557.0000
2255	59530	226	-191	326	204	450.9669	97577.1480
2256	59764	-107	-290	-48	204	449.6220	97592.8360
2257	59999	69	-76	259	204	448.2216	97609.1560
2258	60231	485	-100	-85	204	446.6521	97627.4300
2259	60465	248	124	-191	204	444.7470	97649.6480
2260	60699	407	-361	-324	203	443.2938	97666.5940
2261	60934	636	-515	-24	203	441.5472	97686.9380
2262	61168	873	452	-314	203	439.6739	97708.7970
2263	61402	610	-132	-387	203	438.0885	97727.2970
2264	61637	257	37	-144	203	436.2125	97749.1640
2265	61870	118	72	153	203	434.7619	97766.1090
2266	62102	332	22	-20	203	433.7050	97778.4450
2267	62333	400	-94	-123	203	432.1249	97796.8910
2268	62567	258	167	-351	203	430.0243	97821.4140
2269	62801	97	50	-318	201	428.6080	97837.9380
2270	63033	124	230	493	201	426.4863	97862.7110
2271	63266	-478	7	324	201	424.8454	97881.8830
2272	63498	105	-40	94	201	422.8584	97905.0940
2273	63730	75	48	-320	201	421.0088	97926.6880
2274	63962	552	49	30	201	419.0403	97949.6950
2275	64193	208	-46	31	200	417.3889	97968.9840
2276	64425	-135	-10	-22	200	415.9885	97985.3520
2277	64659	738	168	-65	200	414.5458	98002.2270
2278	64892	584	-67	-184	199	413.0265	98020.0080
